Title,Updated Description,Director,Rating,Release Date,Genre
Inception,"A thief who enters the dreams of others to steal secrets must perform the impossible: inception — planting an idea inside the mind of a target.",Christopher Nolan,8.8,16/07/2010,"Action, Sci-Fi, Thriller"
The Dark Knight,"Batman faces his greatest psychological and physical tests yet when the Joker wreaks havoc on Gotham City.",Christopher Nolan,9.0,18/07/2008,"Action, Crime, Drama"
Interstellar,"A team of explorers travels through a wormhole in space in an attempt to ensure humanity's survival.",Christopher Nolan,8.6,07/11/2014,"Adventure, Drama, Sci-Fi"
The Matrix,"A hacker discovers the shocking truth about reality and joins a rebellion against the machines that enslave humanity.",Lana Wachowski & Lilly Wachowski,8.7,31/03/1999,"Action, Sci-Fi"
Parasite,"A poor family schemes to infiltrate a wealthy household, leading to a shocking chain of events.",Bong Joon-ho,8.5,30/05/2019,"Drama, Thriller"
Spirited Away,"A girl trapped in a mysterious spirit world must find courage to save her parents and return to the human world.",Hayao Miyazaki,8.6,20/07/2001,"Animation, Fantasy, Adventure"
Pulp Fiction,"The lives of two mob hitmen, a boxer, and a pair of bandits intertwine in a series of violent and darkly comedic tales.",Quentin Tarantino,8.9,14/10/1994,"Crime, Drama"
The Godfather,"The aging patriarch of an organized crime dynasty transfers control of his empire to his reluctant son.",Francis Ford Coppola,9.2,24/03/1972,"Crime, Drama"
Toy Story,"Led by Woody, Andy's toys live happily until Buzz Lightyear appears, sparking rivalry and an unexpected adventure.",John Lasseter,7.7,30/10/1995,"Animation, Comedy, Family"
Gladiator,"A Roman general is betrayed and reduced to slavery, but rises again to seek vengeance against the emperor.",Ridley Scott,8.5,05/05/2000,"Action, Drama"
Jumanji,"Two children play a magical board game, releasing Alan, who has been trapped inside for 26 years, and unleashing chaos.",Joe Johnston,6.9,15/12/1995,"Adventure, Fantasy, Family"
Grumpier Old Men,"A family wedding reignites the ancient feud between neighbors, while romance stirs with a new arrival in town.",Howard Deutch,6.5,22/12/1995,"Romance, Comedy"
Waiting to Exhale,"Four women navigate love, heartbreak, and friendship as they search for respect and happiness.",Forest Whitaker,6.1,22/12/1995,"Comedy, Drama, Romance"
Father of the Bride Part II,"George Banks’ life is turned upside down when both his daughter and wife announce pregnancies.",Charles Shyer,5.7,10/02/1995,"Comedy"
Heat,"A master thief and a relentless detective clash in a deadly cat-and-mouse game in Los Angeles.",Michael Mann,7.7,15/12/1995,"Action, Crime, Drama, Thriller"
Sabrina,"The daughter of a chauffeur returns from Paris transformed, catching the attention of two wealthy brothers.",Sydney Pollack,6.2,15/12/1995,"Comedy, Romance"
Tom and Huck,"Tom Sawyer and Huckleberry Finn witness a murder and face a dangerous decision between loyalty and justice.",Peter Hewitt,5.4,22/12/1995,"Adventure, Drama, Family"
Sudden Death,"During a Stanley Cup game, a firefighter must save his daughter and stop a terrorist attack.",Peter Hyams,5.5,22/12/1995,"Action, Thriller"
GoldenEye,"James Bond faces a shadowy crime syndicate with access to a devastating satellite weapon.",Martin Campbell,6.6,16/11/1995,"Action, Thriller"
The American President,"The U.S. President’s romance with a lobbyist sparks political controversy and personal challenges.",Rob Reiner,6.5,17/11/1995,"Comedy, Drama, Romance"
